Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Sun Jul 29 21:49:05 2018,25547869,5,520000,24882,24730,25045,24882,24730,25045,0,2,83981,62703,208560,25147,524041 ~ 524114,1.970000 ~ 2.590000,0.492500 ~ 0.647500,2 ~ 210,7 M 269 K 802 B,4 M 170 K 632 B
Sun Jul 29 21:50:05 2018,25547870,5,520000,24869,24686,25109,24869,24686,25109,0,5,83073,56144,204186,25088,523998 ~ 524178,1.740000 ~ 2.060000,0.435000 ~ 0.515000,7 ~ 10,6 M 669 K 586 B,3 M 891 K 532 B
Sun Jul 29 21:51:05 2018,25547871,5,520000,24836,24727,24936,24836,24727,24936,0,1,84679,55426,179450,25008,524178 ~ 524423,1.610000 ~ 2.170000,0.402500 ~ 0.542500,10 ~ 115,8 M 490 K 1014 B,4 M 764 K 707 B
Sun Jul 29 21:52:05 2018,25547872,5,520000,24841,24746,24997,24840,24745,24997,0,8,84193,58256,146451,25112,524423 ~ 524510,2.040000 ~ 2.510000,0.510000 ~ 0.627500,10 ~ 114,6 M 697 K 456 B,3 M 891 K 337 B
Sun Jul 29 21:53:05 2018,25547873,5,520000,24897,24790,25024,24897,24790,25024,0,0,83910,61683,210529,25036,524456 ~ 524679,1.890000 ~ 2.700000,0.472500 ~ 0.675000,108 ~ 217,7 M 312 K 577 B,4 M 135 K 915 B
Sun Jul 29 21:54:05 2018,25547874,5,520000,24850,24697,25053,24850,24697,25053,0,1,82802,58769,246926,25129,524691 ~ 524850,1.870000 ~ 2.560000,0.467500 ~ 0.640000,5 ~ 108,8 M 516 K 963 B,5 M 55 K 666 B
Sun Jul 29 21:55:05 2018,25547875,5,520000,24831,24702,24957,24831,24702,24957,0,3,85244,57721,189575,25002,524830 ~ 524869,2.140000 ~ 2.630000,0.535000 ~ 0.657500,9 ~ 1663,8 M 517 K 615 B,4 M 731 K 36 B
Sun Jul 29 21:56:05 2018,25547876,5,520000,24854,24689,25011,24854,24689,25011,0,1,83027,53720,240837,25106,524859 ~ 525043,2.230000 ~ 2.630000,0.557500 ~ 0.657500,2 ~ 6,7 M 241 K 748 B,4 M 146 K 772 B
Sun Jul 29 21:57:05 2018,25547877,5,520000,24818,24668,24920,24818,24668,24919,0,1,83763,54434,254408,25044,525038 ~ 525245,2.450000 ~ 2.820000,0.612500 ~ 0.705000,6 ~ 10,7 M 288 K 927 B,4 M 196 K 863 B
Sun Jul 29 21:58:05 2018,25547878,5,520000,24805,24616,24916,24804,24616,24915,0,16,84448,55628,188774,25096,525095 ~ 525297,2.280000 ~ 2.700000,0.570000 ~ 0.675000,8 ~ 111,7 M 267 K 186 B,4 M 207 K 408 B
Sun Jul 29 21:59:05 2018,25547879,5,520000,24875,24785,24969,24875,24785,24969,0,9,84722,55469,152651,25084,525310 ~ 525504,2.210000 ~ 2.550000,0.552500 ~ 0.637500,8 ~ 111,6 M 668 K 815 B,4 M 22 K 947 B
Sun Jul 29 22:00:05 2018,25547880,5,520000,24776,24686,24875,24776,24686,24875,0,2,82884,49761,202045,25128,525475 ~ 525661,2.300000 ~ 2.560000,0.575000 ~ 0.640000,5 ~ 421,7 M 251 K 718 B,4 M 94 K 466 B
Sun Jul 29 22:01:05 2018,25547881,5,520000,24803,24625,24894,24803,24625,24894,0,0,84648,58192,189511,25037,525616 ~ 525815,2.200000 ~ 2.440000,0.550000 ~ 0.610000,5 ~ 106,6 M 654 K 228 B,3 M 789 K 991 B
Sun Jul 29 22:02:05 2018,25547882,5,520000,24810,24692,24948,24810,24692,24948,0,12,85255,59850,195359,25074,525673 ~ 525816,2.190000 ~ 2.690000,0.547500 ~ 0.672500,7 ~ 116,7 M 255 K 475 B,4 M 183 K 397 B
Sun Jul 29 22:03:05 2018,25547883,5,520000,24815,24574,24949,24815,24574,24949,0,0,84333,58523,195526,25094,525775 ~ 526031,1.520000 ~ 2.200000,0.380000 ~ 0.550000,7 ~ 10,7 M 278 K 156 B,4 M 305 K 155 B
Sun Jul 29 22:04:05 2018,25547884,5,520000,24792,24722,24889,24792,24722,24889,0,0,84092,57122,214263,25036,526038 ~ 526147,1.520000 ~ 1.940000,0.380000 ~ 0.485000,10 ~ 1049,6 M 932 K 886 B,3 M 987 K 651 B
